Louisville,Kentucky,11906
Rochester,New York,10015
Buffalo,New York,9372
Birmingham,Alabama,9018
Madison,Wisconsin,8492
Dayton,Ohio,7907
Florida,Florida,7650
Charleston,South Carolina,7380
Hartford,Connecticut,7061
Columbia,South Carolina,7060
Greenville,South Carolina,7060
Albany,New York,6257
Des Moines,Iowa,5997
Wichita,Kansas,5726
Newark,New Jersey,5268
Lexington,Kentucky,5098
Lincoln,Nebraska,3405
Orange,California,3358
Jackson,Mississippi,3352
Lansing,Michigan,3331
Cypress,Texas,317
Athens,Ohio,316
Penn,Pennsylvania,315
Lexington,North Carolina,313
Marion,Illinois,313
Portsmouth,Ohio,310
Troy,Ohio,310
Norfolk,Nebraska,306
Richmond,Kentucky,306
Auburn,Maine,304
Methuen,Massachusetts,304
Nassau,New York,304
Collegeville,Pennsylvania,303
Laramie,Wyoming,303
Rochester,New Hampshire,303
Snellville,Georgia,303
McMinnville,Oregon,302
Midlothian,Virginia,302
Petoskey,Michigan,302
Seymour,Indiana,302
Upper Marlboro,Maryland,302
Wheeling,Illinois,302
League City,Texas,301
Queensbury,New York,301
Leawood,Kansas,300
Beachwood,Ohio,299
New Berlin,Wisconsin,299
Palm Harbor,Florida,299
Durant,Oklahoma,298
North Little Rock,Arkansas,298
Rock Island,Illinois,298
College Park,Maryland,297
Lacey,Washington,297
Mason City,Iowa,297
Middletown,Ohio,297
Quakertown,Pennsylvania,297
Vail,Colorado,297
Merrimack,New Hampshire,296
Needham,Massachusetts,296
Cranbury,New Jersey,295
Mansfield,Massachusetts,295
Mineola,New York,295
Arcadia,California,294
Plainfield,Illinois,294
Blaine,Minnesota,293
Lake Oswego,Oregon,293
Marion,Indiana,293
Pottsville,Pennsylvania,293
Auburn,California,292
Bartlesville,Oklahoma,292
Brooksville,Florida,292
Davie,Florida,292
Delaware,Ohio,292
Portage,Michigan,292
Rancho Santa Margarita,California,292
Geneva,Illinois,291
Pinehurst,North Carolina,291
Shelby Township,Michigan,291
Hamden,Connecticut,290
Watertown,Massachusetts,290
Boston,New York,289
East Hanover,New Jersey,289
Lakeville,Minnesota,289
Oak Lawn,Illinois,289
Owatonna,Minnesota,289
Gilroy,California,288
Huntsville,Texas,288
Palm Beach,Florida,288
Clovis,California,287
Madera,California,287
Nacogdoches,Texas,287
Bohemia,New York,286
Dublin,Georgia,286
Grass Valley,California,285
Ukiah,California,285
