Fresno,California,5479
West Palm Beach,Florida,5393
Toledo,Ohio,5007
Tacoma,Washington,4552
Savannah,Georgia,4288
Lancaster,Pennsylvania,4277
Riverside,California,3877
Winston-Salem,North Carolina,3868
Sarasota,Florida,3853
Allentown,Pennsylvania,3714
Green Bay,Wisconsin,3697
Fort Myers,Florida,3671
Augusta,Georgia,3589
Anchorage,Alaska,3556
Bakersfield,California,3541
Mobile,Alabama,3529
Pensacola,Florida,3473
Worcester,Massachusetts,3431
Anaheim,California,3396
Orange,California,3358
Jackson,Mississippi,3352
Asheville,North Carolina,3333
Lansing,Michigan,3331
Wilmington,North Carolina,3222
Evansville,Indiana,3179
Tallahassee,Florida,3081
Naples,Florida,2972
Corpus Christi,Texas,2957
Eugene,Oregon,2824
York,Pennsylvania,2803
Reston,Virginia,2788
Mesa,Arizona,2757
Rockford,Illinois,2750
Peoria,Illinois,2719
Princeton,New Jersey,2719
Stamford,Connecticut,2708
Gainesville,Florida,2621
Tempe,Arizona,2614
South Bend,Indiana,2601
Shreveport,Louisiana,2563
Fayetteville,North Carolina,2558
Montgomery,Alabama,2556
Canton,Ohio,2484
Arlington,Texas,2442
Marietta,Georgia,2370
Springfield,Massachusetts,2367
Reading,Pennsylvania,2359
Lubbock,Texas,2349
Columbus,Georgia,2310
Ontario,California,2310
Torrance,California,2288
Frederick,Maryland,2285
Everett,Washington,2284
Modesto,California,2281
Lakeland,Florida,2233
Santa Ana,California,2194
Tyler,Texas,2172
Macon,Georgia,2072
Chesapeake,Virginia,2003
Ocala,Florida,2000
Bloomington,Indiana,1998
Washington,Washington,1972
Columbia,Missouri,1968
Schaumburg,Illinois,1940
Amarillo,Texas,1939
Stockton,California,1932
Waco,Texas,1920
Springfield,Illinois,1918
Charleston,West Virginia,1905
Costa Mesa,California,1885
Spartanburg,South Carolina,1862
Myrtle Beach,South Carolina,1859
Youngstown,Ohio,1858
Ogden,Utah,1849
Bellingham,Washington,1832
Lynchburg,Virginia,1802
Olympia,Washington,1801
Topeka,Kansas,1787
Scranton,Pennsylvania,1755
Walnut Creek,California,1743
Athens,Georgia,1719
Newark,Delaware,1700
Daytona Beach,Florida,1697
Fayetteville,Arkansas,1677
Flint,Michigan,1672
Parsippany,New Jersey,1652
Edison,New Jersey,1646
Fredericksburg,Virginia,1632
Bend,Oregon,1627
Bethlehem,Pennsylvania,1618
Beaumont,Texas,1617
Roseville,California,1617
Duluth,Minnesota,1615
McAllen,Texas,1584
St. Cloud,Minnesota,1584
San Bernardino,California,1548
Lake Charles,Louisiana,1530
Corona,California,1529
Greenville,North Carolina,1529
White Plains,New York,1525
Huntington Beach,California,1524
Warren,Michigan,1518
Cherry Hill,New Jersey,1508
Ventura,California,1504
Temecula,California,1493
Burbank,California,1490
Livonia,Michigan,1483
Bradenton,Florida,1479
Trenton,New Jersey,1477
Midland,Texas,1472
Elkhart,Indiana,1469
Davenport,Iowa,1453
Lafayette,Indiana,1452
Texas City,Texas,1445
Billings,Montana,1436
Iowa City,Iowa,1428
Eau Claire,Wisconsin,1425
Morristown,New Jersey,1418
Medford,Oregon,1414
Frisco,Texas,1400
Rancho Cucamonga,California,1396
Traverse City,Michigan,1396
Hampton,Virginia,1389
Tuscaloosa,Alabama,1388
West Chester,Pennsylvania,1386
Holland,Michigan,1380
Yakima,Washington,1377
Aurora,Illinois,1373
Saginaw,Michigan,1373
Franklin,Tennessee,1371
Gainesville,Georgia,1367
Bowling Green,Kentucky,1363
Wausau,Wisconsin,1356
Hayward,California,1341
La Crosse,Wisconsin,1336
New Brunswick,New Jersey,1336
Danbury,Connecticut,1335
Murfreesboro,Tennessee,1332
Lawrenceville,Georgia,1328
Bentonville,Arkansas,1295
Denton,Texas,1293
Johnson City,Tennessee,1292
Kent,Washington,1290
Hickory,North Carolina,1281
Bangor,Maine,1264
Oshkosh,Wisconsin,1259
Hagerstown,Maryland,1258
Dover,Delaware,1258
Clarksville,Tennessee,1257
Gilbert,Arizona,1257
Bismarck,North Dakota,1257
Jackson,Michigan,1257
Pueblo,Colorado,1256
Sterling Heights,Michigan,1256
The Woodlands,Texas,1255
Visalia,California,1254
Winchester,Virginia,1254
Lowell,Massachusetts,1253
Melville,New York,1253
Joliet,Illinois,1252
Katy,Texas,1251
Illinois City,Illinois,1250
Kenosha,Wisconsin,1249
Hollywood,Florida,1249
Hattiesburg,Mississippi,1249
Bloomington,Illinois,1248
Temple,Texas,1248
Bridgeport,Connecticut,1248
Norcross,Georgia,1247
Albany,Georgia,1247
Lima,Ohio,1247
Santa Cruz,California,1246
Columbus,Indiana,1246
Kennesaw,Georgia,1246
Mankato,Minnesota,1246
Fort Smith,Arkansas,1245
Utica,New York,1245
Monroe,Louisiana,1245
Chapel Hill,North Carolina,1244
Wilkes-Barre,Pennsylvania,1243
Rapid City,South Dakota,1242
Thousand Oaks,California,1241
Concord,New Hampshire,1241
Longview,Texas,1240
Chico,California,1239
Napa,California,1238
Fullerton,California,1238
Jackson,Tennessee,1237
Dothan,Alabama,1237
Staten Island,New York,1237
Jonesboro,Arkansas,1236
Oceanside,California,1236
Monterey,California,1235
Killeen,Texas,1235
Las Cruces,New Mexico,1234
Livermore,California,1233
Racine,Wisconsin,1233
Abilene,Texas,1232
Sioux City,Iowa,1232
Grand Junction,Colorado,1231
Redding,California,1231
Elgin,Illinois,1230
Orem,Utah,1230
Joplin,Missouri,1229
College Station,Texas,1227
Florence,South Carolina,1226
Missoula,Montana,1226
Panama City,Florida,1225
Midland,Michigan,993
Muskegon,Michigan,992
Oxnard,California,992
Jacksonville,North Carolina,982
High Point,North Carolina,976
Falls Church,Virginia,974
Redlands,California,974
Williamsburg,Virginia,973
McKinney,Texas,972
Somerset,New Jersey,971
Renton,Washington,963
Bridgewater,New Jersey,958
Brea,California,953
Salinas,California,953
Salisbury,Maryland,952
Carmel,Indiana,949
Santa Fe,New Mexico,946
Valdosta,Georgia,941
Kissimmee,Florida,938
Pompano Beach,Florida,937
West Des Moines,Iowa,931
Terre Haute,Indiana,928
Kingsport,Tennessee,926
Woodland Hills,California,921
