Clearwater-FL,,3284,4182,4743,
Redmond-WA,1797,3424,4025,4569,5157
Tucson-AZ,2941,3310,3889,4362,5661
San-Antonio-TX,2573,2966,3864,4481,5475
Knoxville-TN,2473,3314,3707,4493,5110
Greensboro-NC,1638,2628,3706,4271,4374
Chandler-AZ,2736,3367,3683,4051,4419
Memphis-TN,2030,2649,3660,4614,5063
Las-Vegas-NV,2306,2867,3653,4494,6620
Dearborn-MI,2222,3063,3641,4640,4746
Albuquerque-NM,2257,2673,3610,4651,5658
Seattle-WA,1912,2754,3595,4140,5272
Detroit-MI,2780,3134,3539,4146,4753
Dayton-OH,2850,3056,3518,4340,5054
Wilmington-DE,2763,2961,3507,3854,4452
Fargo-ND,2146,2309,3506,3833,4105
Houston-TX,2147,2708,3494,4223,5329
Wichita-KS,2288,2863,3491,4641,5410
Newark-NJ,2335,2644,3465,4380,4872
Roanoke-VA,2733,2989,3451,4119,5180
Kansas-City-KS,2648,3066,3432,3746,4426
Huntsville-AL,2581,3005,3429,4065,4860
Richmond-VA,2554,2965,3427,3838,4146
Hillsboro-OR,2314,2897,3398,4348,5372
Bellevue-WA,1823,2328,3394,4483,5071
Melbourne-FL,2608,2945,3394,3955,4909
Tulsa-OK,2247,2816,3385,3851,4524
St.-Louis-MO,2543,2982,3369,3901,4481
Charlotte-NC,2369,2779,3344,4114,4919
Des-Moines-IA,2452,2764,3330,3896,4513
Nashua-NH,1871,2769,3330,4340,5429
Jacksonville-FL,2150,2880,3329,4002,4956
Dallas-TX,2372,2821,3326,4224,4785
Vancouver-WA,2476,2925,3318,4272,5641
Rochester-MN,2759,2910,3312,4314,4800
Birmingham-AL,1827,2471,3306,3932,4297
Pittsburgh-PA,2561,2983,3299,3985,4670
Fort-Worth-TX,2720,3000,3281,3842,4796
Durham-NC,2509,2817,3279,3946,4408
Austin-TX,2153,2658,3275,3892,4886
Louisville-KY,2285,2731,3275,3768,4533
Raleigh-NC,2376,2736,3249,3814,4824
Philadelphia-PA,2242,2795,3248,3952,4416
Kirkland-WA,1828,2277,3232,4169,4169
El-Paso-TX,2009,2387,3229,3566,4688
Phoenix-AZ,2273,2644,3223,4170,5153
Florida-FL,1020,2165,3195,3814,6867
Orlando-FL,2184,2633,3195,3924,4654
Logan-UT,2199,2355,3187,4226,4641
Cedar-Rapids-IA,2357,2824,3184,3595,3852
Morrisville-NC,2565,2924,3181,3591,4653
Cleveland-OH,2354,2767,3179,3747,4774
Pullman-WA,2389,2838,3175,3680,3961
Rochester-NY,2305,2661,3168,3879,4689
New-York-NY,1575,2296,3142,3830,4838
Boise-ID,1942,2741,3141,3840,4889
Baltimore-MD,2348,2744,3140,3993,4800
Auburn-Hills-MI,2141,2457,3140,3561,4087
Oakland-CA,1008,2459,3138,3627,4159
Jersey-City-NJ,2107,2468,3131,3588,4284
Appleton-WI,2374,2877,3128,3380,3933
St.-Petersburg-FL,,2554,3119,3889,
Nashville-TN,2271,2552,3113,3730,4628
Altoona-PA,,3003,3108,4155,
Oklahoma-City-OK,2227,2641,3107,3780,4453
Tampa-FL,1770,2524,3086,4040,4657
Sacramento-CA,2166,2698,3085,3908,5076
Cincinnati-OH,2464,2721,3081,3543,4311
Binghamton-NY,2065,2776,3080,3537,5142
Cary-NC,1147,2258,3079,3746,4003
New-Orleans-LA,999,2229,3079,3707,4021
Kansas-City-MO,2623,2925,3076,3327,3679
Salt-Lake-City-UT,2031,2499,3070,3590,4769
Concord-CA,,1858,3067,3553,
Plano-TX,1997,2389,3063,3680,4185
Lehi-UT,2174,2538,3057,3785,4704
Omaha-NE,2146,2549,3053,3759,4112
Erie-PA,2263,2369,3052,3368,3894
Chicago-IL,2097,2574,3051,3740,4217
Salem-OR,1932,2564,3050,3701,4055
Columbus-OH,2179,2537,3047,3660,4168
Folsom-CA,2071,2603,3038,3425,4400
Irving-TX,2364,2533,3038,3936,4665
Reno-NV,2347,2628,3021,4480,5137
Ames-IA,1046,1885,3020,3379,4148
Fort-Walton-Beach-FL,2344,2737,3018,4084,5583
Syracuse-NY,2454,2759,3012,3368,4179
Akron-OH,1973,2854,3008,3881,5006
Lexington-KY,1976,2368,3005,3705,4263
Fort-Lauderdale-FL,1711,2048,3002,3900,4236
Idaho-Falls-ID,2195,2345,2994,3594,3893
St.-Paul-MN,2147,2561,2975,3544,4269
Atlanta-GA,1992,2452,2963,3628,4685
Chattanooga-TN,1591,2452,2957,3350,4192
Champaign-IL,2106,2530,2954,4226,4703
Milwaukee-WI,2249,2601,2952,3405,4008
Grand-Rapids-MI,1745,2378,2942,3353,4072
Minnetonka-MN,1366,1818,2924,3175,4211
Indianapolis-IN,2299,2612,2924,3652,4172
Poughkeepsie-NY,2395,2649,2903,3663,3916
Manchester-NH,1997,2446,2895,3624,3905
Charlottesville-VA,1796,2463,2874,3285,3695
Spokane-WA,2175,2512,2849,3241,3690
Colorado-Springs-CO,2060,2426,2844,3680,4360
Waltham-MA,1496,2014,2844,3052,3207
Olathe-KS,2473,2683,2840,3049,3310
Minneapolis-MN,2066,2418,2820,3473,4073
Provo-UT,2142,2402,2818,3649,4117
Buffalo-NY,1683,2257,2815,3779,4489
Farmington-Hills-MI,1606,2239,2815,3289,3604
Cupertino-CA,1260,1794,2815,3347,4411
Waukesha-WI,2252,2403,2805,3157,3559
San-Jose-CA,1254,1931,2804,3293,4357
Fort-Wayne-IN,1753,2282,2804,3745,4842
Providence-RI,2111,2270,2800,3376,4002
Morgantown-WV,1770,2392,2799,4066,4421
Norwalk-CT,1872,2593,2799,3109,3263
Lafayette-LA,1989,2579,2794,3004,3423
Columbia-SC,2088,2491,2792,3346,4502
Natick-MA,2269,2476,2787,3047,3653
Baton-Rouge-LA,1622,2351,2780,3147,3461
Hartford-CT,2032,2445,2754,3527,4403
Johnstown-PA,784,1696,2754,2911,3436
Santa-Rosa-CA,1393,1925,2747,3620,3620
Maryland-MD,869,2176,2744,3210,6096
Madison-WI,1520,2131,2735,3187,3891
Horsham-PA,929,2208,2735,3368,5681
Richardson-TX,2113,2393,2730,3403,4301
Portland-OR,1609,1998,2728,3534,4620
Cambridge-MA,1720,2187,2705,3068,4073
Dubuque-IA,,2484,2692,3155,
Little-Rock-AR,929,1411,2679,3036,3699
Santa-Clara-CA,1212,1889,2665,3154,3686
Manassas-VA,1890,2198,2660,2865,3173
Kalamazoo-MI,2132,2184,2658,3184,3394
Harrisburg-PA,2290,2498,2653,3795,4210
Beaverton-OR,1816,2254,2643,3187,4288
Fort-Collins-CO,1703,2434,2643,3114,4055
Springfield-MO,1734,2215,2641,3254,3714
Aurora-CO,2183,2392,2601,3229,3960
Southfield-MI,1960,2328,2591,3116,3590
Denver-CO,1751,2065,2587,3476,4296
Burlington-VT,1615,2019,2574,2877,3331
Columbia-MD,1626,1973,2567,3430,5501
Germantown-MD,1968,2364,2562,2760,3312
Sioux-Falls-SD,2099,2331,2556,3959,4296
Littleton-CO,1713,2027,2550,2863,3334
Greenville-SC,1706,1931,2535,3440,4446
Albany-NY,1509,1923,2532,3090,3749
Newport-News-VA,1601,2310,2515,2926,3593
San-Ramon-CA,1660,1950,2484,2973,3505
Norfolk-VA,1800,2065,2475,3399,4974
New-Haven-CT,1990,2145,2454,3382,4599
Naperville-IL,864,1765,2454,3196,4028
Gaithersburg-MD,2008,2206,2453,3564,4559
Fremont-CA,1144,1724,2450,3473,4537
State-College-PA,1716,2181,2440,2750,3370
Boston-MA,1441,1907,2426,3049,3655
Scottsdale-AZ,1793,2003,2424,2687,3423
Bozeman-MT,1859,2010,2413,3320,3975
Duluth-GA,1163,2149,2405,3274,4245
Ithaca-NY,1262,1541,2404,3317,4026
Boca-Raton-FL,1390,1727,2400,2793,3691
Herndon-VA,1522,1830,2394,3318,4865
Miami-FL,932,1647,2377,3050,4116
Troy-MI,1272,2113,2376,2902,3270
King-of-Prussia-PA,1411,2108,2375,2590,2965
Chantilly-VA,1632,1837,2350,4268,5374
San-Diego-CA,1427,1766,2346,3024,3606
Lincoln-NE,1714,1991,2344,2949,3353
Framingham-MA,784,1666,2340,2911,3429
Bloomington-MN,2081,2232,2332,2835,3538
Virginia-Beach-VA,1399,2039,2296,3220,4195
Overland-Park-KS,1718,2032,2293,3182,3653
Eagan-MN,1939,2140,2291,2542,3296
Blacksburg-VA,1508,1927,2286,3056,4134
Novi-MI,1281,1807,2280,3017,4157
San-Luis-Obispo-CA,1106,1690,2270,2899,4261
Ann-Arbor-MI,1689,1952,2267,2741,3740
Long-Beach-CA,1244,1631,2260,2841,3665
Washington-DC,1167,1666,2255,2990,3974
Sunnyvale-CA,986,1760,2246,3267,3799
Los-Angeles-CA,792,1566,2243,3261,3750
Eden-Prairie-MN,1532,1834,2236,2839,3191
San-Mateo-CA,782,1217,2235,2724,3788
Lenexa-KS,1814,1971,2232,2598,3330
Mason-OH,1850,2007,2216,2425,3936
Charleston-SC,1662,1914,2215,2718,3271
Longmont-CO,1931,2036,2193,2715,3186
Florham-Park-NJ,603,1272,2190,3140,3631
Portland-ME,1284,1936,2187,2738,3039
Richland-WA,,1780,2173,3295,
Burlington-MA,1389,1804,2167,2790,4806
Boulder-CO,1267,1633,2155,3044,3707
Rockville-MD,1494,1741,2137,3044,4243
Alexandria-VA,1054,1516,2132,3005,3758
Sterling-VA,1449,1603,2117,2579,3041
Milpitas-CA,851,1529,2109,2399,3374
Pleasanton-CA,1123,1413,2091,2673,3694
Mountain-View-CA,1193,1580,2066,3087,3619
