City,10%,25%,50%,75%,90%
Redmond-WA,2414,4025,5157,6333,6333
Tucson-AZ,3258,4152,4940,6169,6169
Dayton-OH,3005,4237,4850,5054,7128
Baltimore-MD,3041,3737,4800,5295,6908
Melbourne-FL,3057,3787,4797,5454,5998
Rochester-NY,3320,4082,4689,5179,5679
Seattle-WA,2754,3483,4684,5272,5860
Dallas-TX,3607,4168,4673,5330,5874
Tampa-FL,2580,3647,4657,5370,5914
Phoenix-AZ,2855,4170,4643,5661,6214
Sacramento-CA,3424,3714,4587,5076,5608
Fort-Wayne-IN,3536,3692,4528,4842,5348
Bellevue-WA,2721,3226,4483,5071,6247
St.-Louis-MO,3351,3853,4406,5241,5738
Houston-TX,3325,3718,4335,5329,7637
Raleigh-NC,3249,3660,4327,5321,6428
Charlotte-NC,2831,3293,4319,4919,6523
Orlando-FL,3082,3924,4317,4878,5967
Denver-CO,2274,3162,4296,4801,5901
Austin-TX,3219,3724,4285,5430,6606
Huntsville-AL,3058,3588,4224,5374,6446
Chicago-IL,2680,3581,4164,5243,6357
Pittsburgh-PA,3088,3510,4143,4670,5234
Portland-OR,2728,3534,4130,4620,5686
Omaha-NE,3306,3759,4112,4903,4903
Colorado-Springs-CO,2321,3471,4098,4866,6471
Minneapolis-MN,2820,3171,4073,5056,6137
Atlanta-GA,2657,3219,4037,5190,5190
Philadelphia-PA,3097,3399,4002,4921,5969
Washington-DC,2500,2941,3974,4511,5048
Columbia-MD,2765,3328,3930,6038,6575
New-York-NY,2052,2943,3830,4838,6417
San-Jose-CA,2222,2804,3825,4357,5953
Grand-Rapids-MI,2788,2994,3815,4277,5482
Indianapolis-IN,2664,3392,3808,4693,5197
Salt-Lake-City-UT,2759,3226,3798,4769,5271
Santa-Clara-CA,1357,2665,3686,5282,5282
Mountain-View-CA,2066,2555,3619,4683,5215
San-Diego-CA,2056,2733,3606,4095,5691
San-Francisco-CA,1174,2439,3503,4567,5631
Madison-WI,,2634,3288,3991,
Sunnyvale-CA,2246,2246,3267,3799,4331
Los-Angeles-CA,1179,2437,3261,4282,5346
Boston-MA,1959,2945,3152,4157,5259
Boise-ID,,2891,3041,3241,
Boulder-CO,1946,2521,2887,3707,4762
Irvine-CA,1615,2147,2875,3364,3896
Solon-OH,,2186,2289,2341,
Palo-Alto-CA,-641,479,1543,3671,4203
