City,10%,25%,50%,75%,90%
San-Jose-CA,1786,3825,5421,5953,6485
Seattle-WA,3371,4140,5272,6448,7036
Minneapolis-MN,3021,3171,5056,6137,6678
Philadelphia-PA,,4106,4921,5423,
New-York-NY,1670,3341,4838,6943,7469
Dallas-TX,2821,3663,4785,5330,5330
Houston-TX,3606,4111,4784,7637,8225
Boston-MA,2219,3101,4702,6931,6931
Phoenix-AZ,,4432,4643,5153,
Washington-DC,2304,2892,4511,5584,7195
Austin-TX,4005,4173,4341,6018,6018
Denver-CO,2953,3737,4296,5351,5901
Atlanta-GA,2759,3321,4190,6293,6845
San-Diego-CA,1476,2491,4095,4627,5159
Los-Angeles-CA,1518,2727,3750,5346,6410
Portland-OR,2533,3130,3635,5154,5154
San-Francisco-CA,497,2971,3503,4035,6163
