City,10%,25%,50%,75%,90%
Redmond-WA,2582,3480,4569,5157,5157
San-Antonio-TX,2180,3303,4201,4594,5475
Tucson-AZ,3047,3836,4152,4467,5098
Seattle-WA,2866,3539,4140,4684,5860
Detroit-MI,2932,3387,4045,4500,4906
Dallas-TX,2597,3382,4000,4617,5330
Philadelphia-PA,2896,3399,3952,4365,5423
Bellevue-WA,2047,3002,3939,4483,5071
Dayton-OH,3056,3415,3929,4595,5054
St.-Louis-MO,2999,3451,3904,4255,4556
Cleveland-OH,2973,3283,3901,4467,4927
Hillsboro-OR,2703,3600,3853,4838,5904
Jacksonville-FL,2655,3216,3834,4732,6689
Houston-TX,2371,2932,3830,4672,5329
Charlotte-NC,2728,3190,3806,4217,4919
Phoenix-AZ,2486,3012,3801,4222,5153
Durham-NC,2355,2971,3741,4357,5402
Chicago-IL,2574,2998,3740,4217,4731
Melbourne-FL,2496,3394,3731,4292,4909
Rochester-NY,2965,3219,3726,4082,5179
Austin-TX,2658,3163,3724,4341,5430
Raleigh-NC,2890,3300,3660,3968,4824
Huntsville-AL,3005,3376,3641,4224,4701
Baltimore-MD,2694,3090,3635,4300,5295
Omaha-NE,2499,3205,3608,3911,4163
Cincinnati-OH,2978,3183,3595,4209,4617
Tampa-FL,2693,3086,3591,4208,4433
Orlando-FL,2690,3026,3588,4093,4598
Buffalo-NY,2511,2764,3576,4287,4742
Indianapolis-IN,2768,2976,3548,3912,4276
Sacramento-CA,2166,2747,3521,3956,5076
Nashville-TN,2440,2832,3506,4572,5173
Kansas-City-MO,2623,3126,3478,3981,4484
Atlanta-GA,2350,3014,3475,3986,4685
Columbus-OH,2486,2843,3456,3864,4472
Salt-Lake-City-UT,2603,2967,3434,4162,4769
Columbia-MD,2171,2765,3430,4425,6038
Minneapolis-MN,2267,2820,3372,3874,4073
Cupertino-CA,2283,2815,3347,3879,5475
New-York-NY,1718,2645,3341,4312,5365
Oklahoma-City-OK,2434,3107,3314,4090,4660
Milwaukee-WI,2802,3003,3304,3606,4109
Grand-Rapids-MI,2378,3045,3302,3764,4482
Pittsburgh-PA,2878,3088,3299,3985,4723
San-Jose-CA,1689,2318,3293,3825,4889
Portland-OR,1950,2728,3281,4130,4620
Colorado-Springs-CO,2321,2687,3262,4046,4360
Miami-FL,1190,2040,3218,4116,5793
Denver-CO,2222,2640,3215,3790,4296
Appleton-WI,,3028,3179,3430,
Springfield-MO,1854,2692,3152,3459,3663
Mountain-View-CA,1484,2066,3087,3619,4151
Plano-TX,743,2558,3063,3849,4129
San-Francisco-CA,1077,1950,2971,3503,4567
Herndon-VA,1830,2343,2959,3318,4312
Albany-NY,,1923,2938,3242,
Lincoln-NE,1832,2193,2899,3252,3907
Washington-DC,1862,2353,2843,3481,4511
Boston-MA,1804,2219,2789,3655,4157
Madison-WI,2182,2433,2785,3388,7896
San-Diego-CA,1863,2298,2782,3120,3606
Fort-Collins-CO,,2539,2748,3061,
Sunnyvale-CA,2246,2246,2735,3799,4331
Los-Angeles-CA,1276,1905,2679,3261,4282
Santa-Clara-CA,1744,2131,2665,3154,3686
Boulder-CO,1842,2103,2626,3201,3707
Fairfax-VA,1652,2114,2576,3243,4237
Fremont-CA,,2353,2498,4005,
Arlington-VA,1728,1831,2087,3354,4404
Irvine-CA,1083,1519,2051,2875,3364
Fort-Lauderdale-FL,859,1711,1991,3675,4236
Palo-Alto-CA,-1076,-10,1011,2075,3139
